"","spName","prevAll","x","y","prevBins","xBins","yBins","weights"
"2201","Engystomops_pustulosus",472,-75.73,10.26,2,2,6,0.2
"2300","Leptopelis_bufonides",492,-0.18,11.23,2,5,6,0.5
"1534","Nanorana_ercepeae",22,81.59,28.89,1,7,8,0.0666666666666667
"2284","Geotrypetes_seraphini",433,6.04,2.95,2,5,5,0.0416666666666667
"2672","Hemisus_marmoratus",3577,22.97,-2.03,13,5,5,1
"2603","Scinax_fuscovarius",1819,-53.52,-19.18,7,3,3,1
"2545","Rana_dybowskii",1014,133.5,51.97,4,9,10,1
"86","Aneides_vagrans",53,-124.89,45.98,1,1,9,0.0384615384615385
"1105","Kassina_kuvangensis",230,23.52,-12.83,1,5,4,0.0909090909090909
"2573","Occidozyga_lima",1207,102.93,14.07,5,8,6,1
"2503","Physalaemus_biligonigerus",904,-59.01,-26.18,4,3,2,1
"1080","Rana_iberica",86,-6.42,41.63,1,4,9,0.2
"2371","Litoria_pallida",404,135.63,-15.51,2,9,3,0.125
"1043","Leptopelis_occidentalis",68,-4.8,5.8,1,4,5,0.25
"2424","Leptodactylus_latinasus",750,-59.72,-27.53,3,3,2,0.25
"2484","Litoria_platycephala",697,134,-28.01,3,9,2,1
"2624","Bufotes_variabilis",1860,48.69,42.78,7,6,9,1
"2634","Lithobates_catesbeianus",2232,-88.15,38.07,8,2,8,1
"2582","Acris_crepitans",1535,-91.3,36.32,6,2,8,1
"1869","Litoria_cryptotis",173,132.16,-16.97,1,9,3,0.0625
"2328","Duttaphrynus_scaber",314,79.27,14.64,2,7,6,0.5
"2644","Bufotes_viridis",2141,29.03,49.64,8,6,10,1
"2193","Pristimantis_peruvianus",469,-71.32,-6.08,2,2,4,0.0454545454545455
"2498","Anaxyrus_fowleri",975,-85.16,36.76,4,2,8,0.5
"992","Allobates_crombiei",12,-51.88,-3.79,1,3,5,0.0227272727272727
"2404","Anaxyrus_hemiophrys",850,-106.09,52.11,3,1,10,0.5
"2396","Lithobates_berlandieri",636,-96.65,23.11,3,1,7,1
"2527","Bufotes_boulengeri",958,9.35,31.18,4,5,8,1
"2356","Megophrys_minor",436,105.75,26.29,2,8,7,0.0588235294117647
"2252","Phyllomedusa_boliviana",322,-61.94,-14.75,2,3,4,0.05
"2378","Notaden_melanoscaphus",341,136.58,-15.2,2,9,4,0.142857142857143
"1465","Ptychadena_mahnerti",25,35.87,0.19,1,6,5,0.0192307692307692
"2172","Odontophrynus_occidentalis",332,-65.92,-36.48,2,2,2,0.5
"2601","Lithobates_clamitans",1952,-83.05,40.64,7,2,9,0.333333333333333
"2652","Hemisus_guineensis",2390,19.29,-3.59,9,5,5,1
"2670","Rhinella_marina",3614,-67.08,0.35,13,2,5,1
"2671","Hypsiboas_geographicus",3629,-56.34,-7.67,13,3,4,1
"2568","Leptopelis_bocagii",1216,26.79,-10.22,5,6,4,0.333333333333333
"1492","Salamandra_infraimmaculata",71,38.86,36.56,1,6,8,0.0909090909090909
"2682","Kassina_senegalensis",4392,21.08,-4.23,16,5,5,1
"2658","Scinax_ruber",2886,-61.3,-3.52,10,3,5,1
"2316","Hyperolius_glandicolor",435,35.67,-4.97,2,6,4,0.0833333333333333
"2074","Hynobius_retardatus",62,142.54,43.32,1,9,9,0.142857142857143
"1104","Hyperolius_steindachneri",117,23.05,-9.84,1,5,4,0.0909090909090909
"2402","Rana_luteiventris",814,-119.24,48.62,3,1,9,0.5
"2661","Duttaphrynus_melanostictus",2872,94.63,18.04,10,8,7,1
"1448","Mertensophryne_lonnbergi",12,37,-0.67,1,6,5,0.0192307692307692
"2311","Afrixalus_delicatus",375,37.24,-11.98,2,6,4,0.0833333333333333
"2666","Ptychadena_oxyrhynchus",2998,20.89,-4.19,11,5,5,1
"2621","Ptychadena_pumilio",1742,6.54,9.32,7,5,6,1
"1191","Discoglossus_jeanneae",117,-2.84,39.72,1,5,9,0.05
"2380","Occidozyga_laevis",350,116.9,8.4,2,9,6,1
"2547","Scinax_garbei",1305,-66.62,-5.2,5,2,4,1
"2101","Litoria_lesueurii",60,148.97,-35.98,1,10,2,0.0285714285714286
"2474","Hoplobatrachus_crassus",810,82.6,19.64,3,7,7,0.5
"2115","Pseudophryne_australis",15,150.88,-33.65,1,10,2,0.0285714285714286
"2635","Pseudacris_crucifer",2287,-82.59,42.64,8,2,9,1
"2166","Craugastor_augusti",455,-102.39,25.15,2,1,7,0.5
"2222","Dendropsophus_sanborni",467,-54.44,-28.77,2,3,2,0.25
"2439","Physalaemus_ephippifer",768,-55.37,-1.39,3,3,5,0.25
"2443","Hyperolius_parallelus",780,18.99,-11.08,3,5,4,0.333333333333333
"1202","Rana_graeca",149,21.93,40.83,1,5,9,0.05
"1013","Hypsiboas_tepuianus",36,-62.61,4.93,1,3,5,0.0227272727272727
"2542","Microhyla_butleri",1082,106.07,19.18,4,8,7,1
"2000","Limnonectes_visayanus",17,123.01,10.57,1,9,6,0.0285714285714286
"2273","Ptychadena_grandisonae",545,23.42,-10.35,2,5,4,0.142857142857143
"2597","Phrynobatrachus_mababiensis",1620,27.93,-14.89,6,6,4,0.5
"2580","Hypsiboas_lanciformis",1641,-65.33,-4.68,6,2,4,0.5
"2225","Scinax_granulatus",306,-53.66,-29.9,2,3,2,0.25
"2384","Pelophylax_plancyi",361,117.44,34.3,2,9,8,0.5
"2469","Ptychadena_guibei",698,29.63,-13.28,3,6,4,0.2
"1914","Litoria_iris",26,143.33,-5.85,1,9,4,0.0172413793103448
"2567","Pyxicephalus_adspersus",1394,26.59,-18.89,5,6,3,1
"1377","Cophyla_phyllodactyla",11,48.8,-13.39,1,6,4,0.0185185185185185
"2482","Raorchestes_parvulus",679,100.37,17.89,3,8,7,0.166666666666667
"1493","Bufo_verrucosissimus",67,44.34,40.98,1,6,9,0.25
"2558","Osteocephalus_leprieurii",1336,-64.25,-3.77,5,3,5,0.333333333333333
"2413","Leptodactylus_fragilis",701,-83.05,13.48,3,2,6,1
"2687","Rana_arvalis",6497,54.6,57.36,23,6,10,1
"2598","Microhyla_heymonsi",1458,106.06,17.46,6,8,7,1
"2519","Breviceps_adspersus",950,24.63,-21.69,4,5,3,1
"2307","Hyperolius_marmoratus",536,33.17,-21.13,2,6,3,0.166666666666667
"2574","Hoplobatrachus_rugulosus",1320,107.55,22.08,5,8,7,1
"2651","Hildebrandtia_ornata",2514,20.9,-4.74,9,5,4,1
"960","Hypsiboas_pombali",56,-39.14,-15.11,1,3,4,0.0204081632653061
"3","Eleutherodactylus_pipilans",37,-95.51,16.63,1,1,6,0.142857142857143
"2008","Philautus_surdus",140,123.42,11.67,1,9,6,0.0285714285714286
"2330","Microhyla_rubra",501,80.04,17.2,2,7,7,1
"1487","Neurergus_strauchii",19,41.2,38.54,1,6,8,0.0909090909090909
"873","Melanophryniscus_fulvoguttatus",33,-56.19,-24.7,1,3,3,0.00564971751412429
"1572","Hylarana_glandulosa",175,105.24,3.48,1,8,5,0.010989010989011
"2655","Anaxyrus_americanus",2831,-81.33,45.62,10,2,9,1
"72","Hydromantes_platycephalus",43,-119.15,37.58,1,1,8,0.0434782608695652
"2660","Pelobates_fuscus",2666,34.85,51.71,10,6,10,1
"2475","Microhyla_berdmorei",730,100.66,16.05,3,8,6,0.5
"2551","Lithobates_septentrionalis",1183,-77.96,48.31,5,2,9,0.25
"2363","Rana_kukunoris",349,100.02,35.1,2,8,8,0.5
"2654","Ambystoma_tigrinum",2777,-100.93,38.56,10,1,8,1
"2636","Leptodactylus_mystacinus",2027,-52.75,-22.7,8,3,3,1
"117","Eupsophus_vertebralis",23,-72.77,-39.92,1,2,1,0.0714285714285714
"1073","Pelobates_varaldii",15,-6.85,34.18,1,4,8,0.166666666666667
"2628","Polypedates_leucomystax",1886,106.35,10.5,7,8,6,1
"88","Ascaphus_truei",246,-123.83,47.33,1,1,9,0.0384615384615385
"1573","Hylarana_laterimaculata",56,102.95,3.86,1,8,5,0.010989010989011
"1965","Litoria_amboinensis",128,136.45,-4.13,1,9,5,0.0217391304347826
"2562","Hyperolius_nitidulus",1194,2.02,10.14,5,5,6,0.333333333333333
"2669","Adenomera_hylaedactyla",3256,-57.87,-6.32,12,3,4,1
"2566","Salamandra_salamandra",1256,9.78,45.12,5,5,9,0.5
"2021","Sanguirana_tipanan",12,121.79,16.58,1,9,6,0.0285714285714286
"2054","Hynobius_tokyoensis",14,139.96,36.04,1,9,8,0.0333333333333333
"2684","Rana_amurensis",4933,117.35,57.2,18,9,10,1
"2269","Arthroleptis_xenochirus",399,25.44,-10.77,2,5,4,0.142857142857143
"2590","Caecilia_tentaculata",1608,-62.43,-3.02,6,3,5,0.142857142857143
"2221","Gyrinophilus_porphyriticus",417,-78.77,39.76,2,2,9,0.5
"2203","Lithobates_vaillanti",318,-83.74,11.3,2,2,6,0.2
"2458","Kassina_cassinoides",610,-0.87,11.59,3,5,6,0.2
"2504","Chiasmocleis_albopunctata",938,-52.42,-15.75,4,3,3,0.166666666666667
"1841","Pseudophryne_semimarmorata",92,145.2,-39.22,1,9,1,0.333333333333333
"2555","Hypsiboas_crepitans",1420,-54.6,-6.22,5,3,4,0.333333333333333
"2421","Eurycea_bislineata",678,-74.15,45.17,3,2,9,1
"1847","Heleioporus_albopunctatus",105,118.1,-32.15,1,9,2,0.04
"1206","Salamandrina_perspicillata",54,12.22,42.92,1,5,9,0.05
"2022","Amolops_daiyunensis",14,117.32,24.86,1,9,7,0.0555555555555556
"1188","Bombina_pachypus",83,13.85,41.68,1,5,9,0.05
"1158","Nyctibates_corrugatus",43,10.22,3.82,1,5,5,0.015625
"141","Melanophryniscus_rubriventris",33,-64.83,-21.51,1,2,3,0.0526315789473684
"1101","Amnirana_lemairei",232,24.76,-9.91,1,5,4,0.0909090909090909
"1541","Ranodon_sibiricus",14,80.04,44.82,1,7,9,0.5
"2416","Desmognathus_fuscus",787,-80.6,38.22,3,2,8,0.142857142857143
"2612","Callimedusa_tomopterna",1908,-62.62,-4.07,7,3,5,0.125
