"lon","lat","id.sample"
-45.75,81.75,"51112"
-45.25,81.75,"51112"
-44.75,81.75,"51112"
-44.25,81.75,"51112"
-43.75,81.75,"-9999.1"
-43.25,81.75,"-9999.1"
-42.75,81.75,"-9999.1"
-42.25,81.75,"-9999.1"
-41.75,81.75,"-9999.1"
-41.25,81.75,"-9999.1"
-40.75,81.75,"-9999.1"
-40.25,81.75,"-9999.1"
-39.75,81.75,"-9999.101"
-39.25,81.75,"-9999.101"
-38.75,81.75,"-9999.101"
-38.25,81.75,"-9999.101"
-37.75,81.75,"-9999.101"
-37.25,81.75,"-9999.101"
-36.75,81.75,"-9999.101"
-36.25,81.75,"51112"
-35.75,81.75,"51112"
-35.25,81.75,"51112"
-34.75,81.75,"51112"
-34.25,81.75,"51112"
-33.75,81.75,"51112"
-33.25,81.75,"51112"
-32.75,81.75,"51112"
-32.25,81.75,"51112"
-31.75,81.75,"51112"
-31.25,81.75,"51112"
-30.75,81.75,"51112"
-30.25,81.75,"51112"
-29.75,81.75,"51112"
-29.25,81.75,"51112"
-28.75,81.75,"51112"
-28.25,81.75,"51112"
-27.75,81.75,"51112"
-27.25,81.75,"51112"
-26.75,81.75,"51112"
-26.25,81.75,"51112"
-25.75,81.75,"51112"
-25.25,81.75,"51112"
-24.75,81.75,"51112"
-24.25,81.75,"51112"
-23.75,81.75,"51112"
-23.25,81.75,"51112"
-22.75,81.75,"51112"
-22.25,81.75,"51112"
-21.75,81.75,"51112"
-20.75,81.75,"51112"
-20.25,81.75,"51112"
-19.75,81.75,"51112"
-19.25,81.75,"51112"
-18.75,81.75,"51112"
-18.25,81.75,"51112"
-17.75,81.75,"51112"
-17.25,81.75,"51112"
-16.75,81.75,"51112"
-16.25,81.75,"51112"
-15.75,81.75,"51112"
-15.25,81.75,"51112"
-14.75,81.75,"51112"
-14.25,81.75,"51112"
-13.75,81.75,"51112"
-13.25,81.75,"51112"
-12.75,81.75,"51112"
-12.25,81.75,"51112"
56.75,81.75,"81101"
57.25,81.75,"81101"
57.75,81.75,"81101"
58.25,81.75,"81101"
58.75,81.75,"81101"
59.25,81.75,"81101"
62.25,81.75,"81101"
62.75,81.75,"81101"
63.25,81.75,"81101"
63.75,81.75,"81101"
-95.25,81.25,"51110"
-94.75,81.25,"51110"
-94.25,81.25,"51110"
-93.75,81.25,"51110"
-93.25,81.25,"51110"
-92.75,81.25,"51110"
-92.25,81.25,"51110"
-91.75,81.25,"51110"
-90.75,81.25,"51110"
-90.25,81.25,"51110"
-89.75,81.25,"51110"
-89.25,81.25,"51110"
-88.75,81.25,"51110"
-88.25,81.25,"51110"
-87.75,81.25,"51110"
-87.25,81.25,"51110"
-86.75,81.25,"51110"
-86.25,81.25,"51110"
-85.75,81.25,"-9999"
-85.25,81.25,"-9999"
-84.75,81.25,"-9999"
-84.25,81.25,"-9999"
-83.75,81.25,"-9999"
-83.25,81.25,"-9999"
-82.75,81.25,"-9999"
-82.25,81.25,"-9999"
-81.75,81.25,"-9999"
-81.25,81.25,"-9999"
-80.75,81.25,"-9999"
-80.25,81.25,"-9999"
-79.75,81.25,"-9999"
-79.25,81.25,"-9999"
-78.75,81.25,"-9999"
-78.25,81.25,"-9999"
-77.75,81.25,"-9999"
-77.25,81.25,"51110"
-76.75,81.25,"51110"
-76.25,81.25,"51110"
-75.75,81.25,"51110"
-75.25,81.25,"51110"
-74.75,81.25,"51110"
-74.25,81.25,"51110"
-73.75,81.25,"51110"
-73.25,81.25,"51110"
-72.75,81.25,"51110"
-72.25,81.25,"51110"
-71.75,81.25,"51110"
-71.25,81.25,"51110"
-70.75,81.25,"51110"
-70.25,81.25,"51110"
-69.75,81.25,"51110"
-69.25,81.25,"51110"
-68.75,81.25,"51110"
-68.25,81.25,"51110"
-67.75,81.25,"51110"
-67.25,81.25,"51110"
-66.75,81.25,"51110"
-66.25,81.25,"51110"
-65.75,81.25,"51110"
-65.25,81.25,"51110"
-64.75,81.25,"51110"
-64.25,81.25,"51112"
-63.75,81.25,"51112"
-63.25,81.25,"51112"
-62.75,81.25,"51112"
-62.25,81.25,"51112"
-61.75,81.25,"51112"
-61.25,81.25,"51112"
-60.75,81.25,"-9999.96"
-60.25,81.25,"-9999.96"
-59.75,81.25,"-9999.97"
-59.25,81.25,"-9999.97"
-58.75,81.25,"-9999.97"
-58.25,81.25,"-9999.97"
-57.75,81.25,"-9999.97"
-57.25,81.25,"-9999.97"
-56.75,81.25,"-9999.97"
-56.25,81.25,"-9999.97"
-55.75,81.25,"51112"
-55.25,81.25,"51112"
-54.75,81.25,"51112"
-54.25,81.25,"51112"
-53.75,81.25,"-9999.98"
-53.25,81.25,"-9999.98"
-52.75,81.25,"51112"
-52.25,81.25,"51112"
-51.75,81.25,"51112"
-51.25,81.25,"51112.98"
-50.75,81.25,"-9999.98"
-50.25,81.25,"-9999.98"
-49.75,81.25,"-9999.99"
-49.25,81.25,"-9999.99"
-48.75,81.25,"-9999.99"
-48.25,81.25,"-9999.99"
-47.75,81.25,"-9999.99"
-47.25,81.25,"-9999.99"
-46.75,81.25,"-9999.99"
-46.25,81.25,"-9999.99"
-45.75,81.25,"-9999.99"
-45.25,81.25,"-9999.99"
-44.75,81.25,"-9999.1"
-44.25,81.25,"-9999.1"
-43.75,81.25,"-9999.1"
-43.25,81.25,"-9999.1"
-42.75,81.25,"-9999.1"
-42.25,81.25,"-9999.1"
-41.75,81.25,"-9999.1"
-41.25,81.25,"-9999.1"
-40.75,81.25,"-9999.1"
-40.25,81.25,"-9999.1"
-39.75,81.25,"-9999.101"
-39.25,81.25,"-9999.101"
