"","spName","prevAll","x","y","prevBins","xBins","yBins","weights"
"809","Myotis_grisescens",393,-86.56,36.41,1,3,8,0.0714285714285714
"3816","Macaca_fascicularis",1329,109.48,5.6,2,9,5,0.142857142857143
"2396","Pseudoryx_nghetinhensis",22,105.7,17.75,1,8,6,0.00666666666666667
"4109","Micronycteris_megalotis",4210,-59.06,-6.25,5,4,4,0.0285714285714286
"3985","Tachyglossus_aculeatus",3079,134.75,-25.43,3,9,3,0.166666666666667
"4067","Hemiechinus_auritus",4172,71.33,42.19,4,7,8,0.25
"3927","Nycticeinops_schlieffeni",2235,25.75,-1.13,3,6,5,0.05
"4047","Lissonycteris_angolensis",3215,22.81,-1.64,4,6,5,0.111111111111111
"2792","Petrogale_burbidgei",13,125.56,-15.13,1,9,4,0.00900900900900901
"3919","Galago_senegalensis",2998,18.68,8.27,3,6,5,0.05
"1316","Eptesicus_isabellinus",463,-0.19,34.57,1,5,7,0.0666666666666667
"4148","Rhinolophus_ferrumequinum",4838,57.55,37,5,7,8,0.5
"3772","Herpestes_auropunctatus",1375,75.17,27.71,2,8,7,0.0588235294117647
"3803","Macropus_rufus",2085,132.94,-25.45,2,9,3,0.1
"1416","Gerbillurus_vallinus",131,18.78,-27.75,1,6,3,0.0135135135135135
"4218","Myopus_schisticolor",7503,99.09,60.44,8,8,9,0.5
"3860","Mazama_gouazoubira",2199,-52.39,-19.84,3,4,3,0.166666666666667
"820","Dicrostonyx_hudsonius",405,-70.26,57.77,1,3,9,0.5
"3187","Myodes_shanseius",185,111.07,37.1,1,9,8,0.0204081632653061
"3473","Bassaricyon_alleni",1601,-67,-3.01,2,3,4,0.2
"1793","Chlorocebus_aethiops",447,36.56,10.76,1,6,6,0.0555555555555556
"4255","Gulo_gulo",18945,23.5,62.73,19,6,10,1
"3700","Eliomys_quercinus",1552,15.62,48.92,2,6,9,0.333333333333333
"2002","Kerivoula_africana",19,38.57,-6.91,1,7,4,0.05
"245","Irenomys_tarsalis",117,-72.57,-41.31,1,3,1,0.0333333333333333
"2111","Calomyscus_hotsoni",70,61.76,27.31,1,7,7,0.032258064516129
"3758","Ratufa_bicolor",1134,101.31,13.82,2,8,6,0.0263157894736842
"4060","Mustela_putorius",3577,23.22,52.34,4,6,9,0.142857142857143
"2388","Pardofelis_marmorata",818,102.52,13.17,1,8,6,0.00666666666666667
"1707","Mops_congicus",224,21.36,2.6,1,6,5,0.00423728813559322
"3142","Myodes_smithii",102,135.4,35.08,1,9,7,0.0185185185185185
"1523","Nesotragus_moschatus",580,36.11,-13.19,1,6,4,0.0104166666666667
"2012","Taphozous_hildegardeae",33,39.11,-4.42,1,7,4,0.05
"3973","Rattus_tanezumi",3005,104.43,28.45,3,8,7,0.5
"2387","Paraechinus_nudiventris",14,78.36,12.54,1,8,6,0.00666666666666667
"2665","Sminthopsis_fuliginosus",16,116.41,-33.78,1,9,2,0.0333333333333333
"3778","Naemorhedus_griseus",1157,105.67,28.8,2,8,7,0.0588235294117647
"3485","Oligoryzomys_fulvescens",1321,-75.65,8.71,2,3,5,0.0714285714285714
"1332","Microtus_cabrerae",93,-4.97,40.09,1,5,8,0.0666666666666667
"3893","Lionycteris_spurrelli",2525,-64.45,-1.55,3,4,5,0.111111111111111
"2507","Microtus_clarkei",127,99.36,25.64,1,8,7,0.00628930817610063
"3957","Lagurus_lagurus",2589,70.29,49.75,3,7,9,0.333333333333333
"3837","Alticola_lemminus",1873,129.25,63.56,2,9,10,0.333333333333333
"1362","Gerbilliscus_afra",57,19.63,-32.93,1,6,2,0.0227272727272727
"3695","Neomys_anomalus",1833,18.28,45.87,2,6,8,0.142857142857143
