"x","y","species","presence","group"
-55.25,-4.25,"Allobates masniger",1,"Amphibians"
-73.25,-2.75,"Allobates melanolaemus",1,"Amphibians"
-72.75,-2.75,"Allobates melanolaemus",1,"Amphibians"
-73.25,-3.25,"Allobates melanolaemus",1,"Amphibians"
-72.75,-3.25,"Allobates melanolaemus",1,"Amphibians"
-73.25,-3.75,"Allobates melanolaemus",1,"Amphibians"
-72.75,-3.75,"Allobates melanolaemus",1,"Amphibians"
-60.25,-3.75,"Allobates nidicola",1,"Amphibians"
-74.25,6.75,"Allobates niputidea",1,"Amphibians"
-74.75,6.25,"Allobates niputidea",1,"Amphibians"
-74.25,6.25,"Allobates niputidea",1,"Amphibians"
-74.75,5.75,"Allobates niputidea",1,"Amphibians"
-74.25,5.75,"Allobates niputidea",1,"Amphibians"
-76.25,-6.25,"Allobates ornatus",1,"Amphibians"
-76.25,-6.75,"Allobates ornatus",1,"Amphibians"
-61.25,-3.25,"Allobates paleovarzensis",1,"Amphibians"
-60.75,-3.25,"Allobates paleovarzensis",1,"Amphibians"
-60.25,-3.25,"Allobates paleovarzensis",1,"Amphibians"
-59.75,-3.25,"Allobates paleovarzensis",1,"Amphibians"
-62.25,-3.75,"Allobates paleovarzensis",1,"Amphibians"
-61.75,-3.75,"Allobates paleovarzensis",1,"Amphibians"
-61.25,-3.75,"Allobates paleovarzensis",1,"Amphibians"
-60.75,-3.75,"Allobates paleovarzensis",1,"Amphibians"
-74.75,2.75,"Allobates picachos",1,"Amphibians"
-73.25,5.25,"Allobates ranoides",1,"Amphibians"
-72.75,5.25,"Allobates ranoides",1,"Amphibians"
-73.75,4.75,"Allobates ranoides",1,"Amphibians"
-73.25,4.75,"Allobates ranoides",1,"Amphibians"
-72.75,4.75,"Allobates ranoides",1,"Amphibians"
-73.75,4.25,"Allobates ranoides",1,"Amphibians"
-73.25,4.25,"Allobates ranoides",1,"Amphibians"
-73.75,3.75,"Allobates ranoides",1,"Amphibians"
-66.25,7.75,"Allobates sanmartini",1,"Amphibians"
-65.75,7.75,"Allobates sanmartini",1,"Amphibians"
-58.25,5.25,"Allobates spumaponens",1,"Amphibians"
-67.75,-9.75,"Allobates subfolionidificans",1,"Amphibians"
-67.25,-9.75,"Allobates subfolionidificans",1,"Amphibians"
-66.25,5.75,"Allobates undulatus",1,"Amphibians"
-65.75,5.75,"Allobates undulatus",1,"Amphibians"
-71.25,12.25,"Allobates wayuu",1,"Amphibians"
-70.25,-33.25,"Alsodes barrioi",1,"Amphibians"
-73.25,-37.75,"Alsodes barrioi",1,"Amphibians"
-73.25,-38.25,"Alsodes barrioi",1,"Amphibians"
-72.75,-38.25,"Alsodes barrioi",1,"Amphibians"
-71.25,-33.75,"Alsodes cantillanensis",1,"Amphibians"
-71.25,-35.25,"Alsodes hugoi",1,"Amphibians"
-71.75,-38.25,"Alsodes igneus",1,"Amphibians"
-74.25,-49.25,"Alsodes kaweshkari",1,"Amphibians"
-73.75,-49.25,"Alsodes kaweshkari",1,"Amphibians"
-74.25,-49.75,"Alsodes kaweshkari",1,"Amphibians"
-70.25,-33.25,"Alsodes montanus",1,"Amphibians"
-69.75,-33.25,"Alsodes montanus",1,"Amphibians"
-70.25,-33.75,"Alsodes montanus",1,"Amphibians"
-69.75,-33.75,"Alsodes montanus",1,"Amphibians"
-70.75,-34.25,"Alsodes montanus",1,"Amphibians"
-70.25,-34.25,"Alsodes montanus",1,"Amphibians"
-70.75,-34.75,"Alsodes montanus",1,"Amphibians"
-70.25,-34.75,"Alsodes montanus",1,"Amphibians"
-74.25,-47.25,"Alsodes monticola",1,"Amphibians"
-73.25,-39.75,"Alsodes norae",1,"Amphibians"
-70.25,-35.75,"Alsodes pehuenche",1,"Amphibians"
-70.25,-36.25,"Alsodes pehuenche",1,"Amphibians"
-70.25,-33.25,"Alsodes tumultuosus",1,"Amphibians"
-73.75,-39.75,"Alsodes valdiviensis",1,"Amphibians"
-73.25,-39.75,"Alsodes valdiviensis",1,"Amphibians"
-73.75,-40.25,"Alsodes valdiviensis",1,"Amphibians"
-73.25,-40.25,"Alsodes valdiviensis",1,"Amphibians"
