"x","y","biofuel_cropland_irrigated","biofuel_cropland_rainfed","cropland_irrigated","cropland_rainfed","cropland_total","pastures"
119.25,-2.75,0,0.000219853835854641,0.00349934210535139,0.0606061304608981,0.0643253260602554,0.185754245022933
119.75,-2.75,0,0.000275041346564346,0.000549070195605357,0.0798826305816571,0.0807067427784205,0.188607660929362
120.25,-2.75,0,0.000492203666362911,0.0309803837289413,0.179532508552074,0.21100509762764,0.129380046576262
120.75,-2.75,0,0,0.0446781046688557,0.0483312591910362,0.0930093633631865,0.0538572516292334
121.25,-2.75,0,6.60548452287912e-05,0,0.0557296017805735,0.0557956567655007,0.15155620376269
121.75,-2.75,0,8.88391135352625e-05,0,0.0367847081273794,0.0368735471119483,0.157648913562298
122.25,-2.75,0,0,0,0.029375309124589,0.029375309124589,0.0258096437901258
128.25,-2.75,0,0,0,0.0050529019596676,0.0050529019596676,0.0115637551061809
128.75,-2.75,0,1.84391099689189e-05,0,0.0372998015334209,0.0373182408511639,0.0159796646796167
129.25,-2.75,0,1.6959604075358e-05,0,0.0204595100134611,0.0204764697700739,0.0153429579300185
129.75,-2.75,0,0,0,0.0428099147975445,0.0428099147975445,0.0182717276116212
132.25,-2.75,0,0,0,0.00586015428416431,0.00586015428416431,0.0948357068002224
132.75,-2.75,0,0,0,0.0267310009648403,0.0267310009648403,0.116754503548145
133.25,-2.75,0,0,0,0.0637595475961765,0.0637595475961765,0.207751223444939
133.75,-2.75,0,0,0,0.00649696448817849,0.00649696448817849,0.172623082002004
