"x","y","cropland_irrigated","cropland_rainfed","cropland_total","pastures"
82.75,37.75,0,4.77498825299942e-05,4.77498825299942e-05,0.078023008008798
83.25,37.75,0,7.69180866155956e-24,7.69180866155956e-24,0.0185852730646729
83.75,37.75,0,0.00339883078510563,0.00339883078510563,0.256044847766558
84.25,37.75,0,4.24918137772086e-06,4.24918137772086e-06,0.665086883306503
84.75,37.75,0,1.98416726107098e-06,1.98416726107098e-06,0.117388483136892
85.25,37.75,0,0,0,0.271625691155593
85.75,37.75,0,1.70351771327432e-07,1.70351771327432e-07,0.490014572938283
86.25,37.75,0,2.50627041822723e-23,2.50627041822723e-23,0.713901478052139
86.75,37.75,0,0.000953615619800985,0.000953615619800985,0.865318425496419
87.25,37.75,0,0,0,0.824294942617416
87.75,37.75,0,0,0,0.837300797303518
88.25,37.75,0,0,0,0.808523368835449
88.75,37.75,0,0,0,0.876418916384379
89.25,37.75,0,0,0,0.728933163483938
89.75,37.75,0,0,0,0.837017679214478
90.25,37.75,0,0,0,0.874829790989558
90.75,37.75,0,0,0,0.863431529204051
91.25,37.75,0,0,0,0.832579191525777
91.75,37.75,0,2.59634481759955e-05,2.59634481759955e-05,0.54002318183581
92.25,37.75,0,0,0,0.00743809753718476
92.75,37.75,0,0,0,0.465863303343455
93.25,37.75,0,0,0,0.857273586591085
93.75,37.75,0,8.13928252697642e-18,8.13928252697642e-18,0.807742955287298
94.25,37.75,0,7.71344765358656e-17,7.71344765358656e-17,0.735950895150502
94.75,37.75,0,1.66711965887407e-16,1.66711965887407e-16,0.628926658630371
95.25,37.75,0,4.88867770400248e-05,4.88867770400248e-05,0.87125107049942
95.75,37.75,0,0,0,0.874605737129847
96.25,37.75,0,0,0,0.881009676059087
96.75,37.75,0,0,0,0.880379847685496
97.25,37.75,0,0,0,0.876761448383331
97.75,37.75,0,0,0,0.861647808551788
98.25,37.75,0,0,0,0.873532909154892
98.75,37.75,0,0,0,0.867316083113353
99.25,37.75,0,0,0,0.86140576004982
99.75,37.75,0,0,0,0.836419918139776
100.25,37.75,0,0,0,0.812012934684753
100.75,37.75,0,0,0,0.809092541535695
101.25,37.75,0,0.0247001288458705,0.0247001288458705,0.742430659135183
101.75,37.75,0,0.0198188941304882,0.0198188941304882,0.647218054533005
102.25,37.75,0.00918716097561022,0.0244567522468666,0.0336439129586021,0.65908567905426
102.75,37.75,0.165739089995623,0.143053504576286,0.308792595068614,0.418211526672045
103.25,37.75,0.000964697202046712,0.0446875726183256,0.0456522699445486,0.813961430390676
103.75,37.75,0.00941913513621936,0.0293257244552175,0.038744859645764,0.831629057725271
104.25,37.75,0,0.00112198488980842,0.00112198488980842,0.876939805348714
104.75,37.75,0,3.72445281148758e-05,3.72445281148758e-05,0.880383292833964
105.25,37.75,0.0243568093826373,0.0308416405382256,0.0551984500139952,0.812550584475199
105.75,37.75,0.0494263673822085,0.0648604419082403,0.114286809166272,0.734730966885885
