"x","y","biofuel_cropland_irrigated","biofuel_cropland_rainfed","cropland_irrigated","cropland_rainfed","cropland_total","pastures"
-92.75,81.25,0,0,0,0,0,0
-92.25,81.25,0,0,0,0,0,0
-91.75,81.25,0,0,0,0,0,0
-90.75,81.25,0,0,0,0,0,0
-90.25,81.25,0,0,0,0,0,0
-89.75,81.25,0,0,0,0,0,0
-89.25,81.25,0,0,0,0,0,0
-88.75,81.25,0,0,0,0,0,0
-88.25,81.25,0,0,0,0,0,0
-87.75,81.25,0,0,0,0,0,0
-87.25,81.25,0,0,0,0,0,0
-86.75,81.25,0,0,0,0,0,0
-86.25,81.25,0,0,0,0,0,0
-85.75,81.25,0,0,0,0,0,0
-85.25,81.25,0,0,0,0,0,0
-84.75,81.25,0,0,0,0,0,0
-84.25,81.25,0,0,0,0,0,0
-83.75,81.25,0,0,0,0,0,0
-83.25,81.25,0,0,0,0,0,0
-82.75,81.25,0,0,0,0,0,0
-82.25,81.25,0,0,0,0,0,0
-81.75,81.25,0,0,0,0,0,0
-81.25,81.25,0,0,0,0,0,0
-80.75,81.25,0,0,0,0,0,0
-80.25,81.25,0,0,0,0,0,0
-79.75,81.25,0,0,0,0,0,0
-79.25,81.25,0,0,0,0,0,0
-78.75,81.25,0,0,0,0,0,0
-78.25,81.25,0,0,0,0,0,0
-77.75,81.25,0,0,0,0,0,0
-77.25,81.25,0,0,0,0,0,0
-76.75,81.25,0,0,0,0,0,0
-76.25,81.25,0,0,0,0,0,0
-75.75,81.25,0,0,0,0,0,0
-75.25,81.25,0,0,0,0,0,0
-74.75,81.25,0,0,0,0,0,0
-74.25,81.25,0,0,0,0,0,0
-73.75,81.25,0,0,0,0,0,0
-73.25,81.25,0,0,0,0,0,0
-72.75,81.25,0,0,0,0,0,0
-72.25,81.25,0,0,0,0,0,0
-71.75,81.25,0,0,0,0,0,0
-71.25,81.25,0,0,0,0,0,0
-70.75,81.25,0,0,0,0,0,0
-70.25,81.25,0,0,0,0,0,0
-69.75,81.25,0,0,0,0,0,0
-69.25,81.25,0,0,0,0,0,0
-68.75,81.25,0,0,0,0,0,0
-68.25,81.25,0,0,0,0,0,0
-67.75,81.25,0,0,0,0,0,0
-67.25,81.25,0,0,0,0,0,0
-66.75,81.25,0,0,0,0,0,0
-66.25,81.25,0,0,0,0,0,0
-65.75,81.25,0,0,0,0,0,0
-65.25,81.25,0,0,0,0,0,0
-64.75,81.25,0,0,0,0,0,0
-64.25,81.25,0,0,0,0,0,0
-63.75,81.25,0,0,0,0,0,0
-63.25,81.25,0,0,0,0,0,0
-62.75,81.25,0,0,0,0,0,0
-62.25,81.25,0,0,0,0,0,0
-61.75,81.25,0,0,0,0,0,0
-61.25,81.25,0,0,0,0,0,0
-60.75,81.25,0,0,0,0,0,0
-60.25,81.25,0,0,0,0,0,0
-59.75,81.25,0,0,0,0,0,0
-59.25,81.25,0,0,0,0,0,0
-58.75,81.25,0,0,0,0,0,0
-58.25,81.25,0,0,0,0,0,0
-57.75,81.25,0,0,0,0,0,0
-57.25,81.25,0,0,0,0,0,0
-56.75,81.25,0,0,0,0,0,0
-56.25,81.25,0,0,0,0,0,0
-55.75,81.25,0,0,0,0,0,0
-55.25,81.25,0,0,0,0,0,0
-54.75,81.25,0,0,0,0,0,0
-54.25,81.25,0,0,0,0,0,0
-53.75,81.25,0,0,0,0,0,0
